Wiki documenting contributions
Period;2023-12-01;2023-12-31
Date;Type;Title
2023-12-04;attachment;"ISCOM-Incident-start-small.jpg"
2023-12-04;blogpost;"[JENKINS] Swapped Memory"
2023-12-04;blogpost;"[ARTIFACTORY] Disk space saturated. Without cleanup"
2023-12-05;page;"Jenkins CCSL - Disk usage analysis"
2023-12-05;attachment;"ISCOM-Incident-start-small.jpg"
2023-12-05;attachment;"image-2023-12-5_14-25-22.png"
2023-12-05;attachment;"image-2023-12-5_14-24-18.png"
2023-12-05;attachment;"image-2023-12-5_14-24-13.png"
2023-12-05;blogpost;"[JENKINS] Swapped Memory and Git-DMZ certificate"
2023-12-05;blogpost;"[Artifactory-DRSF] - Fin de l'upgrade"
2023-12-05;blogpost;"[Artifactory-DRSF] - Mise à jour étendue"
2023-12-05;blogpost;"[git dmz] restart"
2023-12-05;blogpost;"[git dmz] back again with correct certificate"
2023-12-05;blogpost;"[JIRA] Merge Kodo to NC"
2023-12-06;attachment;"INFORMATIONS SYSTEMS.jpg"
2023-12-06;blogpost;"[JENKINS] Server restarted"
2023-12-06;blogpost;"[git bridge] maintenance downtime planned Friday 8/12 between 14h and 15h."
2023-12-07;attachment;"image-2023-12-7_14-3-35.png"
2023-12-07;attachment;"image-2023-12-7_14-3-27.png"
2023-12-07;attachment;"image-2023-12-7_14-3-22.png"
2023-12-07;blogpost;"Jira merge information"
2023-12-08;blogpost;"[Bitbucket Bridge] end of downtime"
2023-12-08;blogpost;"[Reminder git bridge] maintenance downtime planned today between 14h and 15h."
2023-12-11;page;"Bitbucket CertificateS configuration"
2023-12-12;attachment;"image-2023-12-12_16-18-4.png"
2023-12-12;attachment;"image-2023-12-12_16-17-53.png"
2023-12-12;attachment;"image-2023-12-12_16-17-42.png"
2023-12-12;page;"Filtering issue caused by a corrupted index"
2023-12-12;page;"Jira Roadmap 2023"
2023-12-13;blogpost;"Orchestra Workbenches (EF) Maintenance on 12/01/2024"
2023-12-14;attachment;"image-2023-12-12_16-17-42.png"
2023-12-14;attachment;"image-2023-12-12_16-17-53.png"
2023-12-14;attachment;"image-2023-12-12_16-18-4.png"
2023-12-14;blogpost;"[ARTIFACTORY] Upcoming Changes to Repository Access"
2023-12-15;attachment;"smile.svg"
2023-12-18;blogpost;"Jira Agile merge information"
2023-12-19;page;"Jira merge information"
2023-12-19;attachment;"image-2023-12-7_14-3-27.png"
2023-12-19;attachment;"image-2023-12-7_14-3-35.png"
2023-12-19;attachment;"image-2023-12-12_16-17-42.png"
2023-12-19;blogpost;"[JIRA] Agile December 19 :"
2023-12-20;attachment;"image-2023-12-20_10-22-15.png"
2023-12-20;comment;"Re: Orchestra Workbenches (EF) Maintenance on 12/01/2024"
2023-12-20;blogpost;"[JIRA] - Information Importante concernant le mécanisme d'authentification"
2023-12-20;blogpost;"BRIDGE EF PLATFORM RENEWAL January 12-13th 2024"
2023-12-20;page;"Roadmap Software Engineering"
2023-12-21;page;"Software Engineering Logbook"
